name,old_price,present_price,discount,due_discount,type_of_device,trademark,series,link
Laptop Lenovo Thinkpad P16s Gen 1 i7 1260P/16GB/512GB/4GB QuadroT550/Win11 Pro (21BT0064VN),44.490.000₫,43.490.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Thinkpad,https://www.thegioididong.com/laptop/lenovo-thinkpad-p16s-gen-1-i7-21bt0064vn
Laptop Asus Vivobook Pro 16 OLED K6602VV i9 13900H/16GB/1TB/8GB RTX4060/Win11 (MX077W),46.990.000₫,42.990.000₫ *,-8%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-pro-16-oled-k6602vv-i9-mx077w
Laptop HP Elitebook Dragonfly G3 i7 1255U/16GB/1TB SSD/Touch/Win11 Pro (6Z980PA),52.590.000₫,41.990.000₫ *,-20%,23:00 | 30/11,Laptop,HP,Elitebook,https://www.thegioididong.com/laptop/hp-elitebook-dragonfly-g3-i7-6z980pa
Laptop HP Omen 16 n0087AX R7 6800H/16GB/1TB SSD/6GB RTX3060/165Hz/Win11 (7C0T7PA),50.890.000₫,41.290.000₫ *,-18%,23:00 | 30/11,Laptop,HP,Omen,https://www.thegioididong.com/laptop/hp-omen-16-n0087ax-r7-7c0t7pa
Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/32GB/1TB/Túi/Win11 (NQ126W),44.990.000₫,40.990.000₫ *,-8%,23:00 | 30/11,Laptop,Asus,Zenbook,https://www.thegioididong.com/laptop/asus-zenbook-s-13-oled-ux5304va-i7-nq126w
Laptop Dell Gaming G15 5530 i7 13650HX/16GB/512GB/8GB RTX4060/165Hz/OfficeHS/Win11 (i7H165W11GR4060),40.990.000₫,39.990.000₫,empty,23:00 | 30/11,Laptop,Dell,Gaming,https://www.thegioididong.com/laptop/dell-gaming-g15-5530-i7-i7h165w11gr4060
Laptop Asus TUF Gaming A15 FA507XI R9 7940HS/8GB/512GB/8GB RTX4070/144Hz/Win11 (LP420W),45.490.000₫,39.990.000₫ *,-12%,23:00 | 30/11,Laptop,Asus,TUF,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa507xi-r9-lp420w
Laptop HP Elitebook X360 1040 G9 i7 1255U/16GB/512GB/Touch/Pen/Win11 Pro (6Z982PA),49.990.000₫,39.490.000₫ *,-21%,23:00 | 30/11,Laptop,HP,Elitebook,https://www.thegioididong.com/laptop/hp-elitebook-x360-1040-g9-i7-6z982pa
Laptop Asus Gaming ROG Zephyrus G16 GU603VU i7 13620H/16GB/512GB/6GB RTX4050/165Hz/Win11 (N3898W),44.990.000₫,39.990.000₫ *,-11%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-zephyrus-g16-gu603vu-i7-n3898w
Laptop Asus Gaming ROG Zephyrus G14 GA402NJ R7 7735HS/16GB/512GB/6GB RTX3050/144Hz/Túi/Win11 (L4056W),42.990.000₫,38.990.000₫ *,-9%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-zephyrus-g14-ga402nj-r7-l4056w
Laptop Asus Vivobook Pro 15 OLED K6502VU i9 13900H/16GB/512GB/6GB RTX4050/Win11 (MA090W),40.990.000₫,36.990.000₫ *,-9%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-pro-15-oled-k6502vu-i9-ma090w
Laptop Lenovo Gaming Legion 5 16IRH8 i5 13500H/16GB/512GB/6GB RTX4050/165Hz/Win11 (82YA00BSVN),36.990.000₫,35.990.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Gaming,https://www.thegioididong.com/laptop/lenovo-legion-5-16irh8-i5-82ya00bsvn
Laptop Lenovo Yoga Duet 7 13ITL6 i7 1165G7/16GB/1TB/Touch/Pen/Win11 (82MA009PVN),36.490.000₫,35.490.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Yoga,https://www.thegioididong.com/laptop/lenovo-yoga-duet-7-13itl6-i7-82ma009pvn
Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/16GB/512GB/Túi/Win11 (NQ125W),39.990.000₫,35.990.000₫ *,-10%,23:00 | 30/11,Laptop,Asus,Zenbook,https://www.thegioididong.com/laptop/asus-zenbook-s-13-oled-ux5304va-i7-nq125w
Laptop Apple MacBook Pro 13 inch M2 2022 8-core CPU/8GB/512GB/10-core GPU (MNEJ3SA/A),35.390.000₫,34.190.000₫,empty,23:00 | 30/11,Laptop,MacBook,Pro,https://www.thegioididong.com/laptop/apple-macbook-pro-m2-2022
Laptop Asus Gaming ROG Strix G16 G614JU i5 13450HX/8GB/512GB/6GB RTX4050/165Hz/Win11 (N3135W),37.990.000₫,33.990.000₫ *,-10%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g16-g614ju-i5-n3135w
Laptop Asus Gaming TUF Dash F15 FX517ZR i7 12650H/8GB/512GB/8GB RTX3070/144Hz/Win11 (HN086W),35.990.000₫,31.490.000₫ *,-12%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx517z-i7-hn086w
Laptop Dell Inspiron 14 5430 i7 1360P/16GB/1TB/4GB RTX2050/120Hz/OfficeHS/Win11 (71015633),32.490.000₫,30.990.000₫,empty,23:00 | 30/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-14-5430-i7-71015633
Laptop Lenovo Yoga 7 14IAL7 i5 1240P/16GB/512GB/Touch/Pen/Win11 (82QE000RVN),30.990.000₫,29.990.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Yoga,https://www.thegioididong.com/laptop/lenovo-yoga-7-14ial7-i5-82qe000rvn
Laptop Asus TUF Gaming A15 FA507NV R7 7735HS/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP031W),34.990.000₫,29.490.000₫ *,-15%,23:00 | 30/11,Laptop,Asus,TUF,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa507nv-r7-lp031w
Laptop Asus TUF Gaming F15 FX507ZM i7 12700H/16GB/512GB/6GB RTX3060/144Hz/Win11 (HN123W),32.990.000₫,28.690.000₫ *,-13%,23:00 | 30/11,Laptop,Asus,TUF,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx507z-i7-hn123w
Laptop Dell Inspiron 14 7430 2-in-1 i7 1355U/16GB/512GB/Touch/Pen/OfficeHS/Win11 (i7U165W11SLU),29.490.000₫,28.490.000₫,empty,23:00 | 30/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-14-7430-2-in-1-i7-i7u165w11slu
Laptop Asus Zenbook 14 OLED UX3402VA i7 1360P/16GB/512GB/Cáp/Túi/Win11 (KM068W),31.990.000₫,28.490.000₫ *,-10%,23:00 | 30/11,Laptop,Asus,Zenbook,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402va-i7-km068w
Laptop Dell Inspiron 14 5430 i5 1340P/16GB/512GB/4GB RTX2050/120Hz/OfficeHS/Win11 (N5430-i5P165W11SL2050),29.790.000₫,28.490.000₫,empty,23:00 | 30/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-14-5430-i5-i5p165w11sl2050
Laptop HP Gaming VICTUS 16 s0077AX R7 7840HS/16GB/512GB/144Hz/6GB RTX3050/Win11 (8C5N6PA),31.690.000₫,28.390.000₫ *,-10%,23:00 | 30/11,Laptop,HP,Gaming,https://www.thegioididong.com/laptop/hp-gaming-victus-16-s0077ax-r7-8c5n6pa
Laptop Acer Nitro 5 Tiger AN515 58 773Y i7 12700H/8GB/512GB/4GB RTX3050Ti/144Hz/Win11 (NH.QFKSV.001),31.990.000₫,27.490.000₫ *,-14%,23:00 | 30/11,Laptop,Acer,Nitro,https://www.thegioididong.com/laptop/acer-nitro-5-tiger-an515-58-773y-i7-nhqfksv001
Laptop Lenovo Yoga Duet 7 13ITL6 i5 1135G7/8GB/512GB/Touch/Pen/Win11 (82MA009NVN),28.490.000₫,27.490.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Yoga,https://www.thegioididong.com/laptop/lenovo-yoga-duet-7-13itl6-i5-82ma009nvn
Laptop Lenovo ThinkPad E16 Gen 1 i7 1360P/16GB/512GB/Win11 (21JN006UVN),27.890.000₫,26.890.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,ThinkPad,https://www.thegioididong.com/laptop/lenovo-thinkpad-e16-gen-1-i7-21jn006uvn
Laptop Lenovo ThinkPad E15 Gen 4 i7 1260P/16GB/512GB/Win11 (21E600CPVN),28.690.000₫,26.690.000₫,-6%,23:00 | 30/11,Laptop,Lenovo,ThinkPad,https://www.thegioididong.com/laptop/lenovo-thinkpad-e15-gen-4-i7-21e600cpvn
Laptop HP Pavilion X360 14 ek1047TU i7 1355U/16GB/512GB/Touch/Pen/Win11 (80R25PA),27.590.000₫,26.190.000₫ *,-5%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1047tu-i7-80r25pa
Laptop Lenovo ThinkPad E14 Gen 5 i7 1355U/16GB/512GB/Win11 (21JK007XVN),27.190.000₫,26.190.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,ThinkPad,https://www.thegioididong.com/laptop/lenovo-thinkpad-e14-gen-5-i7-21jk007xvn
Laptop Asus Zenbook 14 Flip OLED UP3404VA i5 1340P/16GB/512GB/Touch/Pen/Cáp/Túi/Win11 (KN038W),29.990.000₫,26.490.000₫ *,-11%,23:00 | 30/11,Laptop,Asus,Zenbook,https://www.thegioididong.com/laptop/asus-zenbook-14-flip-oled-up3404va-i5-kn038w
"Laptop Lenovo ThinkBook 15 G5 IRL i7 1355U/16GB/512GB/15.6""F/Win11 (21JD002AVN)",25.990.000₫,24.990.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,ThinkBook,https://www.thegioididong.com/laptop/lenovo-thinkbook-15-g5-irl-i7-121jd002avn
Laptop Lenovo Yoga 7 14IRL8 i5 1340P/16GB/512GB/Touch/Pen/OfficeHS/Win11 (82YL006AVN),25.990.000₫,24.990.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Yoga,https://www.thegioididong.com/laptop/lenovo-yoga-7-14irl8-i5-82yl006avn
Laptop HP Probook 450 G10 i7 1355U/16GB/512GB/Win11 (873D3PA),26.990.000₫,24.990.000₫ *,-7%,23:00 | 30/11,Laptop,HP,Probook,https://www.thegioididong.com/laptop/hp-probook-450-g10-i7-873d3pa
Laptop HP Pavilion 15 eg3035TX i7 1355U/16GB/512GB/2GB MX550/Win11 (8U6L7PA),26.590.000₫,24.990.000₫ *,-6%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3035tx-i7-8u6l7pa
Laptop Asus Zenbook 14 OLED UX3402VA i5 1340P/16GB/512GB/Cáp/Túi/Win11 (KM085W),27.990.000₫,24.490.000₫ *,-12%,23:00 | 30/11,Laptop,Asus,Zenbook,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402va-i5-km085w
Laptop Dell Vostro 5630 i5 1335U/16GB/512GB/OfficeHS/Win11 (V5630-i5U165W11GRU),25.690.000₫,24.490.000₫,empty,23:00 | 30/11,Laptop,Dell,Vostro,https://www.thegioididong.com/laptop/dell-vostro-5630-i5-i5u165w11gru
Laptop Asus Vivobook 14X OLED S3405VA i9 13900H/16GB/512GB/Win11 (KM071W),26.990.000₫,23.990.000₫ *,-11%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-s3405va-i9-km071w
Laptop HP Pavilion X360 14 ek0132TU i7 1255U/16GB/512GB/Touch/Pen/Win11 (7C0W4PA),26.990.000₫,23.690.000₫ *,-12%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek0132tu-i7-7c0w4pa
Laptop HP Pavilion 15 eg3091TU i7 1355U/16GB/512GB/Win11 (8C5L2PA),25.290.000₫,23.690.000₫ *,-6%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3091tu-i7-8c5l2pa
Laptop HP Gaming VICTUS 16 e1102AX R7 6800H/16GB/512GB/4GB RTX3050Ti/144Hz/Win11 (7C139PA),30.990.000₫,23.390.000₫ *,-24%,23:00 | 30/11,Laptop,HP,Gaming,https://www.thegioididong.com/laptop/hp-victus-16-e1102ax-r7-7c139pa
Laptop Dell Vostro 5630 i5 1340P/8GB/512GB/OfficeHS/Win11 (i5P085W11GRU),23.190.000₫,22.190.000₫,empty,23:00 | 30/11,Laptop,Dell,Vostro,https://www.thegioididong.com/laptop/dell-vostro-5630-i5-i5p085w11gru
Laptop Lenovo ThinkBook 15 G5 IRL i5 1355U/16GB/512GB/Win11 (21JD002FVN),22.590.000₫,22.090.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,ThinkBook,https://www.thegioididong.com/laptop/lenovo-thinkbook-15-g5-irl-i5-21jd002fvn
Laptop Lenovo Ideapad 5 Pro 14IAP7 i7 1260P/16GB/512GB/Win11(82SH002SVN),27.990.000₫,21.990.000₫ *,-21%,23:00 | 30/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-5-pro-14iap7-i7-82sh002svn
Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),25.290.000₫,21.990.000₫ *,-13%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2088tu-i7-7c0r0pa
Laptop Dell Inspiron 16 5630 i5 1335U/8GB/512GB/OfficeHS/Win11 (71020244),22.990.000₫,21.990.000₫,empty,23:00 | 30/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-16-5630-i5-71020244
Laptop HP Probook 450 G10 i5 1335U/16GB/512GB/Win11 (873D1PA),22.590.000₫,21.190.000₫ *,-6%,23:00 | 30/11,Laptop,HP,Probook,https://www.thegioididong.com/laptop/hp-probook-450-g10-i5-873d1pa
Laptop HP Pavilion 15 eg2034TX i7 1255U/8GB/512GB/2GB MX550/Win11 (6K780PA),24.590.000₫,20.990.000₫ *,-14%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2034tx-i7-6k780pa
Laptop HP Gaming VICTUS 15 fa0111TX i5 12500H/16GB/512GB/4GB RTX3050Ti/144Hz/Win11 (7C0R4PA),28.290.000₫,20.990.000₫ *,-25%,23:00 | 30/11,Laptop,HP,Gaming,https://www.thegioididong.com/laptop/hp-victus-15-fa0111tx-i5-7c0r4pa
Laptop HP Pavilion 14 dv2071TU i7 1255U/16GB/512GB/Win11 (7C0W0PA),25.190.000₫,20.990.000₫ *,-16%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-14-dv2071tu-i7-7c0w0pa
Laptop HP Pavilion 15 eg3033TX i5 1335U/16GB/512GB/2GB MX550/Win11 (8U6L6PA),22.290.000₫,20.890.000₫ *,-6%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3033tx-i5-8u6l6pa
Laptop HP 240 G10 i7 1355U/16GB/512GB/Win11 (8F140PA),21.990.000₫,20.490.000₫ *,-6%,23:00 | 30/11,Laptop,HP,240,https://www.thegioididong.com/laptop/hp-240-g10-i7-8f140pa
Laptop HP Pavilion 15 eg3093TU i5 1335U/16GB/512GB/Win11 (8C5L4PA),21.290.000₫,19.890.000₫ *,-6%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3093tu-i5-8c5l4pa
Laptop Asus Vivobook 14X OLED S3405VA i5 13500H/16GB/512GB/Win11 (KM072W),22.990.000₫,19.990.000₫ *,-13%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-s3405va-i5-km072w
Laptop Lenovo ThinkBook 14 G4 IAP i5 1240P/8GB/512GB/Win11 (21DH00B5VN),23.690.000₫,19.190.000₫ *,-18%,23:00 | 30/11,Laptop,Lenovo,ThinkBook,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-g4-iap-i5-21dh00b5vn
Laptop HP Elitebook 630 G9 i5 1235U/8GB/512GB/Win11 (6M143PA),22.190.000₫,18.890.000₫ *,-14%,23:00 | 30/11,Laptop,HP,Elitebook,https://www.thegioididong.com/laptop/hp-elitebook-630-g9-i5-6m143pa
Laptop HP Pavilion 15 eg3094TU i5 1335U/8GB/512GB/Win11 (8C5L5PA),19.990.000₫,18.690.000₫ *,-6%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3094tu-i5-8c5l5pa
Laptop HP Pavilion 15 eg3095TU i5 1335U/8GB/512GB/Win11 (8C5L6PA),19.990.000₫,18.690.000₫ *,-6%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3095tu-i5-8c5l6pa
Laptop HP Pavilion 15 eg2062TX i5 1235U/8GB/512GB/2GB MX550/Win11 (7C0W7PA),20.590.000₫,17.990.000₫ *,-12%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2062tx-i5-7c0w7pa
Laptop HP Probook 450 G9 i5 1235U/8GB/512GB/Win11 (6M0Y9PA),21.290.000₫,17.890.000₫ *,-15%,23:00 | 30/11,Laptop,HP,Probook,https://www.thegioididong.com/laptop/hp-probook-450-g9-i5-6m0y9pa
Laptop Acer Swift 3 SF314 511 55QE i5 1135G7/16GB/512GB/Win11 (NX.ABNSV.003),22.990.000₫,17.690.000₫ *,-23%,23:00 | 30/11,Laptop,Acer,Swift,https://www.thegioididong.com/laptop/acer-swift-3-sf314-511-55qe-i5-nxabnsv003
Laptop HP Pavilion 15 eg2035TX i5 1235U/8GB/512GB/2GB MX550/Win11 (6K781PA),20.590.000₫,17.490.000₫ *,-15%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2035tx-i5-6k781pa
Laptop HP Pavilion 15 eg2036TX i5 1235U/8GB/512GB/2GB MX550/Win11 (6K782PA),20.590.000₫,17.490.000₫ *,-15%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2036tx-i5-6k782pa
Laptop HP 15s fq5077TU i7 1255U/8GB/512GB/Win11 (6K797PA),20.290.000₫,16.790.000₫ *,-17%,23:00 | 30/11,Laptop,HP,15s,https://www.thegioididong.com/laptop/hp-15s-fq5077tu-i7-6k797pa
Laptop Acer Aspire 3 A315 58 787C i7 1165G7/8GB/512GB/Win11 (NX.ADDSV.00J),19.990.000₫,16.490.000₫ *,-17%,23:00 | 30/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-787c-i7-nxaddsv00j
Laptop HP Pavilion 15 eg2085TU i5 1240P/8GB/256GB/Win11 (7C0Q7PA),18.790.000₫,15.990.000₫ *,-14%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2085tu-i5-7c0q7pa
Laptop Lenovo V15 G4 IRU i5 1335U/16GB/512GB/Win11 (83A1000LVN),17.990.000₫,15.990.000₫,-11%,23:00 | 30/11,Laptop,Lenovo,V15,https://www.thegioididong.com/laptop/lenovo-v15-g4-iru-i5-83a1000lvn
Laptop HP ProBook 445 G10 R5 7530U/8GB/256GB/Win11 (878T1PA),16.190.000₫,14.890.000₫ *,-8%,23:00 | 30/11,Laptop,HP,ProBook,https://www.thegioididong.com/laptop/hp-probook-445-g10-r5-878t1pa
Laptop HP Pavilion X360 14 ek0131TU i3 1215U/8GB/256GB/Touch/Win11 (7C0P6PA),16.590.000₫,14.490.000₫ *,-12%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek0131tu-i3-7c0p6pa
Laptop HP Pavilion X360 14 ek0130TU i3 1215U/8GB/256GB/Touch/Win11 (7C0P5PA),16.590.000₫,14.490.000₫ *,-12%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek0130tu-i3-7c0p5pa
Laptop HP Pavilion 15 eg3098TU i3 1315U/8GB/256GB/Win11 (8C5L9PA),15.290.000₫,14.390.000₫ *,-5%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3098tu-i3-8c5l9pa
Laptop Acer Aspire 5 A514 54 511G i5 1135G7/8GB/1TB SSD/Win11 (NX.A28SV.009),14.990.000₫,14.190.000₫,-5%,23:00 | 30/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-a514-54-511g-i5-nxa28sv009
Laptop Lenovo Ideapad 3 15ITL6 i5 1155G7/8GB/512GB/Win11 (82H803CVVN),14.490.000₫,13.990.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15itl6-i5-82h803cvvn
Laptop HP Pavilion 15 eg2062TU i3 1215U/8GB/256GB/Win11 (6K790PA),14.990.000₫,12.190.000₫ *,-18%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2062tu-i3-6k790pa
Laptop Asus Vivobook 14 A1405VA i3 1315U/8GB/512GB/Win11 (LY097W),14.990.000₫,12.490.000₫ *,-16%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-14-a1405va-i3-ly097w
Laptop Lenovo V14 G4 IRU i3 1315U/8GB/512GB/Win11 (83A0000TVN),13.690.000₫,11.990.000₫ *,-12%,23:00 | 30/11,Laptop,Lenovo,V14,https://www.thegioididong.com/laptop/lenovo-v14-g4-iru-i3-win11-83a0000tvn
Laptop Lenovo Ideapad 3 14ABA7 R5 5625U/8GB/256GB/Win11 (82RM003WVN),14.890.000₫,11.890.000₫ *,-20%,23:00 | 30/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-3-14aba7-r5-82rm003wvn
Laptop Lenovo V15 G3 ABA R5 5625U/8GB/512GB/Win11 (82TV008HVN),13.990.000₫,10.490.000₫ *,-25%,23:00 | 30/11,Laptop,Lenovo,V15,https://www.thegioididong.com/laptop/lenovo-v15-g3-aba-r5-82tv008hvn
